name,ingredients,diet,flavor_profile,course
Mixed Veg Sabzi 5,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,snack
Chicken Burger 6,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,snack
Fish Tikka 7,"Paneer, onion, tomato, garam masala, cream",non vegetarian,bitter,main course
Gobi Manchurian 8,"Mutton, onion, ginger garlic paste, spices",non vegetarian,bitter,snack
Mutton Kebab 9,"Rice, peas, beans, carrot, spices",vegetarian,-1,dessert
Veg Sandwich 10,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,main course
Vegetable Pulao 11,"Rice flour, milk, sugar, saffron, nuts",vegetarian,sweet,starter
Vegetable Soup 12,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,dessert
Chapati 13,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,snack
Pineapple Pastry 14,"Egg, tomato, onion, garam masala, coriander",vegetarian,sweet,main course
Mutton Tikka 15,"Gram flour, rice flour, onion, spices",non vegetarian,-1,main course
Mutton Kebab 16,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,spicy,main course
Dal Fry 17,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,snack
Kulfi 18,"Mutton, onion, ginger garlic paste, spices",non vegetarian,spicy,main course
Egg Fried Rice 19,"Egg, tomato, onion, garam masala, coriander",non vegetarian,spicy,main course
Seekh Kebab 20,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,snack
Paneer Momos 21,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,starter
Chicken Burger 22,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,snack
Poori 23,"Rice, peas, beans, carrot, spices",vegetarian,bitter,dessert
Garlic Naan 24,"Mutton, onion, ginger garlic paste, spices",vegetarian,bitter,snack
Paneer Momos 25,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,starter
Chicken Frankie 26,"Fish, coconut milk, tamarind, curry leaves",vegetarian,bitter,starter
Veg Frankie 27,"Rice, peas, beans, carrot, spices",vegetarian,spicy,dessert
Rasgulla Cake 28,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,main course
Garlic Naan 29,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,starter
Coconut Burfi 30,"Rice, peas, beans, carrot, spices",vegetarian,-1,starter
Veg Spring Roll 31,"Gram flour, rice flour, onion, spices",non vegetarian,-1,snack
Veg Cutlet 32,"Chicken, yogurt, cashew, onion, tomato",vegetarian,sweet,snack
Seekh Kebab 33,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,dessert
Chicken Momos 34,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,dessert
Egg Biryani 35,"Wheat flour, sugar, jaggery, coconut",non vegetarian,bitter,dessert
Paneer Burger 36,"Potato, onion, chili, garam masala, oil",vegetarian,-1,dessert
Chocolate Cake 37,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,snack
Veg Sandwich 38,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,starter
Onion Pakora 39,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,main course
Paneer Manchurian 40,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,dessert
Paneer Momos 41,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,starter
Mutton Tikka 42,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,snack
Veg Burger 43,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,starter
Tandoori Roti 44,"Gram flour, rice flour, onion, spices",vegetarian,-1,starter
Chicken Momos 45,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,main course
Kulfi 46,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,snack
Veg Pakora 47,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,main course
Mutton Tikka 48,"Potato, onion, chili, garam masala, oil",vegetarian,-1,starter
Veg Hakka Noodles 49,"Mutton, onion, ginger garlic paste, spices",vegetarian,sweet,main course
Kadhi Chawal 50,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,main course
Jowar Roti 51,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,dessert
Poori 52,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,dessert
Club Sandwich 53,"Rice flour, milk, sugar, saffron, nuts",vegetarian,sweet,main course
Fish Curry 54,"Mutton, onion, ginger garlic paste, spices",non vegetarian,spicy,snack
Dal Fry 55,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,main course
Chicken Tikka 56,"Rice, peas, beans, carrot, spices",non vegetarian,spicy,starter
Bajra Roti 57,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,spicy,snack
Falooda 58,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,main course
Ragi Mudde 59,"Gram flour, rice flour, onion, spices",non vegetarian,-1,dessert
Poori 60,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,main course
Vegetable Pulao 61,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,main course
Fish Curry 62,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,-1,dessert
Paneer Bhurji 63,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,snack
Tandoori Roti 64,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,main course
Paneer Pakora 65,"Paneer, onion, tomato, garam masala, cream",vegetarian,sweet,starter
Tomato Soup 66,"Egg, tomato, onion, garam masala, coriander",vegetarian,bitter,starter
Garlic Naan 67,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,dessert
Ragi Mudde 68,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,starter
Egg Hakka Noodles 69,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,main course
Tomato Soup 70,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,main course
Ragi Mudde 71,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,dessert
Jowar Roti 72,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,dessert
Vegetable Soup 73,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,starter
Egg Fried Rice 74,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,dessert
Pineapple Pastry 75,"Rice, peas, beans, carrot, spices",vegetarian,spicy,snack
Coconut Burfi 76,"Rice flour, milk, sugar, saffron, nuts",vegetarian,sweet,snack
Veg Momos 77,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,dessert
Pineapple Pastry 78,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,main course
Chicken Tikka 79,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,snack
Egg Fried Rice 80,"Mutton, onion, ginger garlic paste, spices",vegetarian,spicy,dessert
Chicken Tikka 81,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,main course
Pineapple Pastry 82,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,snack
Paneer Pakora 83,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,snack
Veg Pizza 84,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,dessert
Schezwan Noodles 85,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,main course
Veg Fried Rice 86,"Rice, peas, beans, carrot, spices",vegetarian,sweet,main course
Paneer Burger 87,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,starter
Veg Sandwich 88,"Mutton, onion, ginger garlic paste, spices",non vegetarian,spicy,dessert
Coconut Burfi 89,"Rice, peas, beans, carrot, spices",non vegetarian,-1,dessert
Ragi Mudde 90,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,main course
Veg Momos 91,"Potato, onion, chili, garam masala, oil",vegetarian,sweet,dessert
Paneer Manchurian 92,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,snack
Veg Pakora 93,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,-1,main course
Veg Burger 94,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,dessert
Onion Pakora 95,"Gram flour, rice flour, onion, spices",vegetarian,sweet,starter
Coconut Burfi 96,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,main course
Rava Ladoo 97,"Gram flour, rice flour, onion, spices",non vegetarian,-1,dessert
Paneer Roll 98,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,starter
Chapati 99,"Potato, onion, chili, garam masala, oil",vegetarian,sweet,snack
Mutton Curry 100,"Paneer, onion, tomato, garam masala, cream",vegetarian,sweet,starter
Chicken Sandwich 101,"Rice, peas, beans, carrot, spices",non vegetarian,-1,main course
Garlic Naan 102,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,dessert
Coconut Burfi 103,"Gram flour, rice flour, onion, spices",non vegetarian,-1,starter
Veg Frankie 104,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,main course
Paneer Do Pyaza 105,"Chicken, yogurt, cashew, onion, tomato",vegetarian,-1,main course
Tandoori Roti 106,"Gram flour, rice flour, onion, spices",non vegetarian,bitter,starter
Chicken Fried Rice 107,"Paneer, onion, tomato, garam masala, cream",non vegetarian,sweet,main course
Vegetable Curry 108,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,dessert
Pesarattu 109,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,-1,snack
Chicken Sandwich 110,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,snack
Veg Manchurian 111,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,main course
Chicken Biryani 112,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,snack
Butter Naan 113,"Egg, tomato, onion, garam masala, coriander",vegetarian,spicy,starter
Ice Cream 114,"Rice, peas, beans, carrot, spices",vegetarian,bitter,starter
Jowar Roti 115,"Mutton, onion, ginger garlic paste, spices",vegetarian,bitter,dessert
Rava Ladoo 116,"Potato, onion, chili, garam masala, oil",non vegetarian,spicy,snack
Chicken Tikka 117,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,snack
Fish Curry 118,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,main course
Paneer Do Pyaza 119,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,starter
Falooda 120,"Fish, coconut milk, tamarind, curry leaves",vegetarian,sweet,starter
Veg Pakora 121,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,main course
Veg Biryani 122,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,snack
Brownie 123,"Rice flour, milk, sugar, saffron, nuts",vegetarian,spicy,starter
Chicken 65 124,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,main course
Chicken Pizza 125,"Wheat flour, sugar, jaggery, coconut",vegetarian,spicy,snack
Paneer Roll 126,"Fish, coconut milk, tamarind, curry leaves",vegetarian,spicy,main course
Egg Hakka Noodles 127,"Rice, peas, beans, carrot, spices",vegetarian,bitter,dessert
Dal Fry 128,"Mutton, onion, ginger garlic paste, spices",vegetarian,-1,dessert
Chicken Korma 129,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,spicy,main course
Chicken Hakka Noodles 130,"Rice flour, milk, sugar, saffron, nuts",vegetarian,spicy,main course
Veg Cutlet 131,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,main course
Fish Tikka 132,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,snack
Prawns Tikka 133,"Gram flour, rice flour, onion, spices",non vegetarian,-1,main course
Chicken Hakka Noodles 134,"Chicken, yogurt, cashew, onion, tomato",vegetarian,sweet,dessert
Veg Fried Rice 135,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,starter
Veg Frankie 136,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,spicy,snack
Mutton Curry 137,"Rice, peas, beans, carrot, spices",vegetarian,sweet,dessert
Mutton Pizza 138,"Fish, coconut milk, tamarind, curry leaves",vegetarian,bitter,main course
Chicken Frankie 139,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,sweet,starter
Dal Fry 140,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,dessert
Ragi Mudde 141,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,main course
Paneer Tikka 142,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,dessert
Butter Naan 143,"Gram flour, rice flour, onion, spices",non vegetarian,-1,snack
Vegetable Curry 144,"Gram flour, rice flour, onion, spices",non vegetarian,spicy,main course
Veg Cutlet 145,"Fish, coconut milk, tamarind, curry leaves",vegetarian,spicy,main course
Hot and Sour Soup 146,"Rice, peas, beans, carrot, spices",non vegetarian,-1,snack
Moong Dal Halwa 147,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,-1,snack
Sweet Corn Soup 148,"Mutton, onion, ginger garlic paste, spices",non vegetarian,-1,dessert
Onion Pakora 149,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,snack
Paneer Bhurji 150,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,bitter,snack
Brownie 151,"Wheat flour, sugar, jaggery, coconut",vegetarian,spicy,starter
Pineapple Pastry 152,"Gram flour, rice flour, onion, spices",vegetarian,sweet,snack
Moong Dal Halwa 153,"Rice, peas, beans, carrot, spices",non vegetarian,-1,main course
Chicken Hakka Noodles 154,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,dessert
Ice Cream 155,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,main course
Mutton Pizza 156,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,starter
Chicken 65 157,"Paneer, onion, tomato, garam masala, cream",vegetarian,spicy,main course
Egg Biryani 158,"Gram flour, rice flour, onion, spices",vegetarian,bitter,snack
Poori 159,"Mutton, onion, ginger garlic paste, spices",vegetarian,spicy,snack
Chicken Burger 160,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,dessert
Kesari Bath 161,"Paneer, onion, tomato, garam masala, cream",non vegetarian,bitter,starter
Paneer Pizza 162,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,bitter,snack
Garlic Naan 163,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,spicy,main course
Onion Pakora 164,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,starter
Pineapple Pastry 165,"Gram flour, rice flour, onion, spices",vegetarian,spicy,main course
Paneer Burger 166,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,snack
Paneer Manchurian 167,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,snack
Paneer Momos 168,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,main course
Vegetable Pulao 169,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,dessert
Vegetable Pulao 170,"Egg, tomato, onion, garam masala, coriander",vegetarian,sweet,dessert
Chicken Burger 171,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,main course
Dal Fry 172,"Rice, peas, beans, carrot, spices",vegetarian,bitter,main course
Sweet Corn Soup 173,"Paneer, onion, tomato, garam masala, cream",non vegetarian,spicy,starter
Paneer Do Pyaza 174,"Mutton, onion, ginger garlic paste, spices",vegetarian,-1,snack
Kadhi Pakora 175,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,dessert
Hara Bhara Kebab 176,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,snack
Kadhi Pakora 177,"Mutton, onion, ginger garlic paste, spices",vegetarian,bitter,main course
Falooda 178,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,dessert
Veg Sandwich 179,"Wheat flour, sugar, jaggery, coconut",non vegetarian,spicy,snack
Falooda 180,"Gram flour, rice flour, onion, spices",non vegetarian,bitter,starter
Paneer Roll 181,"Paneer, onion, tomato, garam masala, cream",vegetarian,bitter,snack
Jowar Roti 182,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,main course
Paneer Pizza 183,"Gram flour, rice flour, onion, spices",non vegetarian,sweet,starter
Pesarattu 184,"Rice, peas, beans, carrot, spices",non vegetarian,bitter,main course
Pineapple Pastry 185,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,main course
Chicken Spring Roll 186,"Wheat flour, sugar, jaggery, coconut",vegetarian,-1,main course
Veg Biryani 187,"Potato, onion, chili, garam masala, oil",non vegetarian,-1,snack
Chapati 188,"Wheat flour, sugar, jaggery, coconut",vegetarian,sweet,snack
Chocolate Cake 189,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,main course
Veg Fried Rice 190,"Rice flour, milk, sugar, saffron, nuts",non vegetarian,sweet,starter
Chicken Korma 191,"Rice flour, milk, sugar, saffron, nuts",vegetarian,-1,main course
Hot and Sour Soup 192,"Wheat flour, sugar, jaggery, coconut",non vegetarian,sweet,starter
Kadhi Pakora 193,"Rice, peas, beans, carrot, spices",non vegetarian,bitter,dessert
Egg Roll 194,"Gram flour, rice flour, onion, spices",vegetarian,sweet,main course
Bajra Roti 195,"Rice flour, milk, sugar, saffron, nuts",vegetarian,bitter,snack
Veg Pakora 196,"Rice, peas, beans, carrot, spices",non vegetarian,spicy,main course
Hot and Sour Soup 197,"Mutton, onion, ginger garlic paste, spices",vegetarian,spicy,dessert
Gobi Manchurian 198,"Chicken, yogurt, cashew, onion, tomato",vegetarian,spicy,snack
Seekh Kebab 199,"Potato, onion, chili, garam masala, oil",non vegetarian,bitter,snack
Pesarattu 200,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,snack
Egg Curry 201,"Rice, peas, beans, carrot, spices",non vegetarian,-1,snack
Fish Tikka 202,"Paneer, onion, tomato, garam masala, cream",vegetarian,-1,dessert
Onion Pakora 203,"Rice flour, milk, sugar, saffron, nuts",vegetarian,spicy,dessert
Pesarattu 204,"Mutton, onion, ginger garlic paste, spices",non vegetarian,-1,dessert
Black Forest Cake 205,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,main course
Mutton Kebab 206,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,main course
Veg Manchurian 207,"Chicken, yogurt, cashew, onion, tomato",vegetarian,bitter,starter
Veg Frankie 208,"Paneer, onion, tomato, garam masala, cream",vegetarian,sweet,main course
Chicken Biryani 209,"Potato, onion, chili, garam masala, oil",vegetarian,-1,starter
Paneer Do Pyaza 210,"Wheat flour, sugar, jaggery, coconut",vegetarian,bitter,snack
Mixed Veg Sabzi 211,"Rice, peas, beans, carrot, spices",non vegetarian,sweet,dessert
Schezwan Noodles 212,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,starter
Veg Biryani 213,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,spicy,main course
Veg Spring Roll 214,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,bitter,starter
Paneer Momos 215,"Potato, onion, chili, garam masala, oil",vegetarian,spicy,snack
Dal Fry 216,"Wheat flour, sugar, jaggery, coconut",non vegetarian,-1,dessert
Rava Ladoo 217,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,main course
Egg Biryani 218,"Paneer, onion, tomato, garam masala, cream",non vegetarian,-1,snack
Mutton Curry 219,"Chicken, yogurt, cashew, onion, tomato",non vegetarian,-1,main course
Fish Tikka 220,"Fish, coconut milk, tamarind, curry leaves",non vegetarian,sweet,main course
Adai 221,"Egg, tomato, onion, garam masala, coriander",non vegetarian,bitter,main course
Black Forest Cake 222,"Rice, peas, beans, carrot, spices",vegetarian,-1,starter
Chicken Frankie 223,"Egg, tomato, onion, garam masala, coriander",non vegetarian,sweet,starter
Veg Fried Rice 224,"Mutton, onion, ginger garlic paste, spices",non vegetarian,sweet,main course
Paneer Burger 225,"Egg, tomato, onion, garam masala, coriander",vegetarian,-1,main course
